Date,Return_Squared,RV
2018-04-20,0.0009704488109421571,0.03115202739697943
2018-04-21,0.0008719183413564537,0.029528263432793567
2018-04-22,0.0009139796970074237,0.030232097132144566
2018-04-23,0.000362173115569961,0.01903084642284628
2018-04-24,0.0011055694786074627,0.0332501049413
2018-04-25,0.0032545181657878323,0.05704838442750007
2018-04-26,0.0019463590222573589,0.044117559114907515
2018-04-27,0.001237034538472173,0.03517150179438139
2018-04-28,0.0012743624424882375,0.03569821343552416
2018-04-29,0.0010492530134372207,0.032392175188418894
2018-04-30,0.0008580372276434464,0.02929227249025665
2018-05-01,0.0010157713918854535,0.031871168662059655
2018-05-02,0.0004465252226205764,0.021131143429085338
2018-05-03,0.0009513833383644407,0.0308445025630896
2018-05-04,0.0011107683578382367,0.033328191637684704
2018-05-05,0.0006038015951877329,0.02457237463469359
